Ride ID,Date & Time,City,Vehicle Type,Driver ID,Customer ID,Distance (km),Duration (min),Fare (INR),Payment Method,Ride Status,Revenue (INR),Driver Education Qualification,Customer Rating,Fare per KM (auto QC)
RX000031,12-Sep-2021 18:07,Bangalore,Sedan,D0032,C01773,5.9,12,196.27,UPI,Completed,156.60,Post Graduate,5.0,33.27
RX000032,12-Sep-2021 18:36,Delhi,Bike,D0022,C02978,3.2,6,49.19,Cash,Completed,39.71,Diploma,4.5,15.37
RX000033,12-Sep-2021 18:38,Mumbai,Auto,D0220,C02672,4,10,103.61,UPI,Completed,83.53,Diploma,4.0,25.90
RX000034,12-Sep-2021 19:50,Chennai,Sedan,D0184,C01123,7.3,18,315.57,Cash,Completed,247.61,Diploma,5.0,43.23
RX000035,13-Sep-2021 07:50,Bangalore,Mini,D0135,C02124,3,8,90.00,UPI,Completed,72.41,Diploma,3.0,30.00
RX000036,13-Sep-2021 09:21,Chennai,Mini,D0340,C05578,4.7,13,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX000037,13-Sep-2021 09:36,Bangalore,Bike,D0329,C00301,5.7,10,75.63,UPI,Completed,61.42,Diploma,3.0,13.27
RX000038,13-Sep-2021 09:50,Mumbai,Bike,D0145,C04547,1.7,3,35.74,UPI,Completed,28.36,Diploma,5.0,21.02
RX000039,13-Sep-2021 09:52,Delhi,Sedan,D0272,C02260,3,7,174.43,UPI,Completed,142.14,High School,4.5,58.14
RX000040,13-Sep-2021 12:52,Bangalore,Sedan,D0087,C00633,10,26,252.00,Cash,Completed,205.59,Graduate,4.0,25.20
RX000041,13-Sep-2021 16:57,Bangalore,Auto,D0082,C04062,7.5,22,112.00,Card,Completed,87.80,Diploma,3.5,14.93
RX000042,13-Sep-2021 17:36,Chennai,Mini,D0166,C03696,8.3,19,164.80,Cash,Completed,128.79,Diploma,4.5,19.86
RX000043,13-Sep-2021 17:50,Ahmedabad,Bike,D0085,C02886,6.3,14,58.50,UPI,Completed,47.03,High School,5.0,9.29
RX000044,13-Sep-2021 17:52,Ahmedabad,Bike,D0135,C01854,2.7,5,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000045,13-Sep-2021 21:03,Hyderabad,Mini,D0200,C01793,1.3,3,63.80,Card,Completed,50.34,Diploma,4.5,49.08
RX000046,13-Sep-2021 21:39,Delhi,Auto,D0161,C00680,4.5,11,77.00,UPI,Completed,60.84,High School,4.5,17.11
RX000047,14-Sep-2021 01:40,Mumbai,Bike,D0204,C02658,8.3,19,71.00,UPI,Completed,56.39,High School,4.5,8.55
RX000048,14-Sep-2021 06:01,Pune,SUV Premier,D0279,C04182,3,6,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000049,14-Sep-2021 07:42,Pune,Bike,D0354,C03075,4.7,9,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000050,14-Sep-2021 08:20,Bangalore,Sedan,D0028,C03716,4.4,8,200.37,Card,Completed,162.85,High School,5.0,45.54
RX000051,14-Sep-2021 09:41,Bangalore,Mini,D0077,C05803,4.7,12,131.32,UPI,Completed,105.41,High School,3.5,27.94
RX000052,14-Sep-2021 17:18,Pune,SUV Premier,D0033,C04475,3.6,7,183.00,UPI,Completed,150.06,Diploma,4.0,50.83
RX000053,15-Sep-2021 01:52,Ahmedabad,Auto,D0177,C00627,7.4,16,105.20,UPI,Completed,82.71,Diploma,3.5,14.22
RX000054,15-Sep-2021 05:44,Bangalore,Mini,D0351,C04850,3.8,9,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000055,15-Sep-2021 08:05,Bangalore,Bike,D0093,C05529,8,13,82.91,UPI,Completed,65.11,Diploma,4.0,10.36
RX000056,15-Sep-2021 08:39,Pune,Sedan,D0264,C02895,4,10,203.75,Cash,Completed,164.51,High School,4.5,50.94
RX000057,15-Sep-2021 08:56,Chennai,Auto,D0013,C00432,6.5,18,113.87,UPI,Completed,92.82,Diploma,4.0,17.52
RX000058,15-Sep-2021 10:55,Bangalore,Bike,D0096,C02798,4.6,10,48.00,Cash,Completed,37.72,Diploma,4.0,10.43
RX000059,15-Sep-2021 12:06,Mumbai,SUV Premier,D0344,C01491,7,17,281.00,UPI,Completed,226.17,Diploma,3.5,40.14
RX000060,15-Sep-2021 15:07,Ahmedabad,Mini,D0289,C05605,2.6,7,84.10,UPI,Completed,68.47,Diploma,5.0,32.35
RX000061,15-Sep-2021 15:35,Ahmedabad,Auto,D0228,C05742,4.6,11,77.80,Card,Completed,62.81,Diploma,4.5,16.91
RX000062,15-Sep-2021 18:25,Bangalore,SUV Premier,D0286,C03916,6.2,16,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000063,16-Sep-2021 06:07,Delhi,Sedan,D0020,C05905,21,55,464.00,Cash,Completed,372.12,Diploma,5.0,22.10
RX000064,16-Sep-2021 06:21,Delhi,Bike,D0335,C05792,4.6,8,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX000065,16-Sep-2021 09:57,Hyderabad,Mini,D0089,C00426,3.6,7,25.00,Wallet,No Show,25.00,High School,,6.94
RX000066,16-Sep-2021 10:29,Pune,Bike,D0289,C00702,8.8,16,72.00,UPI,Completed,58.35,Diploma,4.0,8.18
RX000067,16-Sep-2021 13:09,Pune,Sedan,D0190,C01028,6.6,13,0.00,,Cancelled by Customer,0.00,High School,,0.00
RX000068,16-Sep-2021 14:24,Bangalore,Mini,D0201,C04320,6.4,18,142.40,UPI,Completed,114.20,Graduate,4.0,22.25
RX000069,16-Sep-2021 15:09,Delhi,Auto,D0156,C01938,3.9,12,73.20,Card,Completed,57.61,Graduate,4.5,18.77
RX000070,16-Sep-2021 20:11,Ahmedabad,SUV Premier,D0269,C04301,12.1,29,607.81,UPI,Completed,484.96,High School,4.0,50.23
RX000071,16-Sep-2021 21:48,Hyderabad,Bike,D0163,C02124,5,10,50.00,UPI,Completed,40.18,High School,3.5,10.00
RX000072,16-Sep-2021 21:50,Chennai,Mini,D0358,C01305,2.4,7,81.90,UPI,Completed,64.24,Graduate,4.5,34.13
RX000073,17-Sep-2021 05:09,Ahmedabad,Auto,D0151,C03116,2.1,5,51.80,Card,Completed,40.49,Graduate,4.5,24.67
RX000074,17-Sep-2021 05:19,Bangalore,Auto,D0216,C05095,2.6,6,56.80,Wallet,Completed,45.34,Graduate,4.5,21.85
RX000075,17-Sep-2021 06:09,Delhi,Bike,D0294,C01099,4.8,8,48.00,UPI,Completed,39.28,High School,4.5,10.00
RX000076,17-Sep-2021 08:17,Ahmedabad,Bike,D0116,C02935,3.9,9,67.37,Card,Completed,53.79,Graduate,4.5,17.27
RX000077,17-Sep-2021 15:57,Mumbai,Auto,D0104,C05359,4.5,11,77.00,Card,Completed,62.77,Post Graduate,3.5,17.11
RX000078,17-Sep-2021 16:20,Delhi,SUV Premier,D0133,C00076,12.9,25,423.00,Cash,Completed,334.59,Diploma,4.5,32.79
RX000079,17-Sep-2021 16:52,Ahmedabad,Sedan,D0087,C05363,2.4,6,105.60,Wallet,Completed,83.18,Graduate,5.0,44.00
RX000080,17-Sep-2021 17:25,Bangalore,Mini,D0373,C04542,4.5,11,111.00,UPI,Completed,88.18,Diploma,4.0,24.67
RX000081,17-Sep-2021 19:55,Bangalore,Mini,D0300,C03390,4.9,14,180.90,Cash,Completed,145.13,Diploma,4.5,36.92
RX000082,18-Sep-2021 03:21,Delhi,Mini,D0221,C01036,5,14,121.00,Wallet,Completed,94.69,Diploma,5.0,24.20
RX000083,18-Sep-2021 05:07,Kolkata,Sedan,D0016,C01025,2.7,8,113.80,UPI,Completed,92.50,High School,4.5,42.15
RX000084,18-Sep-2021 09:19,Hyderabad,Mini,D0094,C00227,5.7,16,153.91,UPI,Completed,124.72,Diploma,4.5,27.00
RX000085,18-Sep-2021 09:24,Hyderabad,Sedan,D0091,C00254,4.1,11,206.06,Card,Completed,163.39,High School,5.0,50.26
RX000086,18-Sep-2021 09:32,Bangalore,Auto,D0230,C03798,5,12,123.30,UPI,Completed,100.84,High School,5.0,24.66
RX000087,18-Sep-2021 15:46,Mumbai,Sedan,D0362,C02483,5.1,13,157.40,UPI,Completed,123.22,High School,4.5,30.86
RX000088,18-Sep-2021 17:17,Bangalore,Sedan,D0057,C01365,3.4,9,125.60,UPI,Completed,100.40,Diploma,5.0,36.94
RX000089,18-Sep-2021 17:17,Mumbai,Bike,D0026,C05081,6.1,13,57.00,Card,Completed,45.01,High School,4.5,9.34
RX000090,18-Sep-2021 17:44,Bangalore,Sedan,D0155,C05144,3.4,7,121.60,Card,Completed,95.23,High School,4.0,35.76
RX000091,18-Sep-2021 18:35,Ahmedabad,Bike,D0185,C03008,1.9,3,44.65,Wallet,Completed,36.35,Graduate,4.0,23.50
RX000092,19-Sep-2021 09:01,Delhi,Bike,D0298,C05585,6.2,12,78.19,Card,Completed,64.05,Graduate,4.5,12.61
RX000093,19-Sep-2021 10:31,Mumbai,Bike,D0237,C05874,6.1,11,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000094,19-Sep-2021 10:48,Mumbai,Auto,D0361,C00878,2.8,7,59.40,Wallet,Completed,46.44,Post Graduate,3.5,21.21
RX000095,19-Sep-2021 19:05,Mumbai,Bike,D0339,C00803,2.2,4,48.68,UPI,Completed,38.80,High School,5.0,22.13
RX000096,19-Sep-2021 19:44,Kolkata,Auto,D0236,C04197,9.8,39,0.00,,Cancelled by Driver,0.00,Graduate,,0.00
RX000097,19-Sep-2021 19:53,Mumbai,Bike,D0362,C05995,2.5,4,53.32,UPI,Completed,42.52,High School,5.0,21.33
RX000098,19-Sep-2021 20:46,Delhi,Auto,D0143,C03394,4.9,11,0.00,,Cancelled by Driver,0.00,Post Graduate,,0.00
RX000099,20-Sep-2021 16:48,Pune,Bike,D0090,C05984,3.4,7,40.50,Card,Completed,33.06,Diploma,5.0,11.91
RX000100,20-Sep-2021 16:54,Bangalore,Mini,D0350,C05927,2.8,7,0.00,Card,No Show,0.00,High School,,0.00
RX000101,20-Sep-2021 17:19,Hyderabad,Auto,D0374,C03630,4.2,10,73.60,UPI,Completed,57.70,Diploma,3.0,17.52
RX000102,20-Sep-2021 18:00,Hyderabad,Mini,D0299,C04284,6.3,14,172.88,Card,Completed,135.63,Graduate,3.0,27.44
RX000103,20-Sep-2021 21:33,Bangalore,Auto,D0228,C00698,6,15,93.00,Wallet,Completed,73.24,Diploma,4.0,15.50
RX000104,20-Sep-2021 23:49,Chennai,Mini,D0339,C01905,8.8,19,170.30,UPI,Completed,136.44,High School,4.5,19.35
RX000105,21-Sep-2021 10:51,Mumbai,Bike,D0364,C01100,4.6,10,25.00,UPI,No Show,25.00,High School,,5.43
RX000106,21-Sep-2021 12:07,Hyderabad,SUV Premier,D0322,C04590,2.4,6,156.00,Cash,Completed,127.61,Diploma,4.5,65.00
RX000107,21-Sep-2021 12:13,Pune,Bike,D0022,C00318,7.9,16,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000108,21-Sep-2021 15:44,Delhi,Bike,D0068,C03877,2.6,5,35.50,UPI,Completed,28.16,Diploma,4.5,13.65
RX000109,21-Sep-2021 18:22,Pune,Auto,D0323,C02847,3.3,10,75.20,Card,Completed,58.92,Diploma,5.0,22.79
RX000110,21-Sep-2021 18:41,Delhi,Sedan,D0106,C01416,3.2,6,186.23,Cash,Completed,147.60,Graduate,4.5,58.20
RX000111,21-Sep-2021 20:56,Delhi,Auto,D0286,C01319,5.7,14,106.04,UPI,Completed,84.45,Diploma,4.0,18.60
RX000112,21-Sep-2021 21:21,Delhi,SUV Premier,D0237,C05039,2.5,6,158.00,UPI,Completed,125.98,Diploma,4.5,63.20
RX000113,22-Sep-2021 07:19,Mumbai,Sedan,D0153,C02724,4.2,10,0.00,Card,No Show,0.00,High School,,0.00
RX000114,22-Sep-2021 07:45,Mumbai,Mini,D0087,C03332,3.1,6,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000115,22-Sep-2021 08:48,Chennai,Auto,D0106,C01736,4.2,10,0.00,,Cancelled by Customer,0.00,Graduate,,0.00
RX000116,22-Sep-2021 09:34,Ahmedabad,SUV Premier,D0341,C01943,4,9,234.38,UPI,Completed,192.06,High School,4.0,58.60
RX000117,22-Sep-2021 10:41,Pune,Bike,D0012,C04696,3.8,7,42.50,Wallet,Completed,33.43,Graduate,3.5,11.18
RX000118,22-Sep-2021 10:59,Mumbai,Sedan,D0270,C01333,6,16,176.00,Cash,Completed,139.75,High School,4.5,29.33
RX000119,22-Sep-2021 16:32,Bangalore,Mini,D0097,C05935,3.3,9,94.80,Cash,Completed,75.65,Diploma,4.0,28.73
RX000120,23-Sep-2021 08:00,Mumbai,Bike,D0111,C03137,7.4,15,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX000121,23-Sep-2021 09:29,Pune,Auto,D0208,C01116,4.7,14,125.71,Cash,Completed,101.36,Graduate,5.0,26.75
RX000122,23-Sep-2021 11:49,Mumbai,Bike,D0285,C02372,2.8,6,37.00,UPI,Completed,28.95,Diploma,4.0,13.21
RX000123,23-Sep-2021 14:04,Hyderabad,Sedan,D0183,C03642,3,7,116.00,Wallet,Completed,94.81,Diploma,4.5,38.67
RX000124,23-Sep-2021 16:40,Kolkata,Mini,D0119,C04314,3.1,10,94.10,UPI,Completed,74.91,Diploma,4.5,30.35
RX000125,23-Sep-2021 18:36,Bangalore,Auto,D0207,C05947,2.4,7,89.07,Cash,Completed,72.94,High School,4.0,37.11
RX000126,24-Sep-2021 07:22,Mumbai,Auto,D0199,C01505,4.4,10,75.20,UPI,Completed,60.95,High School,4.0,17.09
RX000127,24-Sep-2021 08:30,Delhi,Auto,D0141,C00052,5.3,15,110.80,UPI,Completed,89.69,Diploma,5.0,20.91
RX000128,24-Sep-2021 10:31,Bangalore,Sedan,D0069,C05231,12.3,33,298.20,UPI,Completed,240.15,High School,4.5,24.24
RX000129,24-Sep-2021 13:06,Ahmedabad,Mini,D0121,C00903,4,8,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX000130,24-Sep-2021 16:00,Ahmedabad,Sedan,D0333,C01838,2.1,4,97.40,UPI,Completed,76.82,Graduate,5.0,46.38
RX000131,24-Sep-2021 16:23,Kolkata,Sedan,D0174,C04662,3.1,8,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX000132,25-Sep-2021 09:09,Kolkata,Auto,D0230,C00969,3.8,13,95.23,Cash,Completed,76.51,High School,5.0,25.06
RX000133,25-Sep-2021 10:06,Ahmedabad,Auto,D0127,C01446,12.7,38,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000134,25-Sep-2021 10:20,Hyderabad,Mini,D0174,C05221,9.3,21,178.80,UPI,Completed,146.33,Post Graduate,5.0,19.23
RX000135,25-Sep-2021 11:57,Bangalore,Bike,D0381,C02248,10.3,23,83.00,Card,Completed,65.55,Diploma,3.5,8.06
RX000136,25-Sep-2021 15:13,Chennai,Auto,D0396,C04165,2.5,7,57.00,UPI,Completed,45.75,Diploma,5.0,22.80
RX000137,25-Sep-2021 15:45,Kolkata,Mini,D0020,C03194,4.6,15,118.10,UPI,Completed,92.70,Diploma,4.0,25.67
RX000138,25-Sep-2021 18:25,Chennai,Auto,D0047,C01889,9.4,21,192.40,UPI,Completed,155.66,Diploma,4.0,20.47
RX000139,25-Sep-2021 20:05,Chennai,Mini,D0211,C05674,6,14,183.94,Cash,Completed,150.42,Graduate,4.5,30.66
RX000140,25-Sep-2021 20:21,Pune,Bike,D0262,C01494,5.7,10,84.79,Cash,Completed,66.18,Graduate,4.5,14.88
RX000141,25-Sep-2021 23:38,Mumbai,Bike,D0385,C04930,2.3,5,34.00,Card,Completed,26.69,Diploma,5.0,14.78
RX000142,26-Sep-2021 01:40,Ahmedabad,Sedan,D0398,C05340,1.1,3,81.40,Wallet,Completed,63.52,High School,3.5,74.00
RX000143,26-Sep-2021 15:03,Chennai,Mini,D0049,C01418,1.3,3,0.00,,Cancelled by Driver,0.00,Graduate,,0.00
RX000144,26-Sep-2021 15:59,Pune,Auto,D0327,C04027,2.1,6,52.80,Cash,Completed,42.49,Graduate,3.5,25.14
RX000145,26-Sep-2021 17:03,Chennai,Bike,D0161,C00467,3.5,6,40.50,Cash,Completed,32.95,High School,5.0,11.57
RX000146,26-Sep-2021 17:03,Delhi,SUV Premier,D0163,C03999,13.4,29,445.00,Card,Completed,348.58,High School,5.0,33.21
RX000147,26-Sep-2021 18:30,Hyderabad,Mini,D0076,C04988,5.8,15,190.53,Card,Completed,150.23,High School,4.0,32.85
RX000148,26-Sep-2021 18:35,Chennai,Auto,D0354,C04410,17.5,50,260.35,UPI,Completed,203.20,Diploma,5.0,14.88
RX000149,26-Sep-2021 18:41,Delhi,SUV Premier,D0347,C03102,8.2,15,361.34,UPI,Completed,286.68,Post Graduate,4.5,44.07
RX000150,26-Sep-2021 20:04,Kolkata,Mini,D0226,C01381,7.1,24,192.21,Cash,Completed,155.12,Graduate,3.5,27.07
RX000151,26-Sep-2021 21:14,Mumbai,Auto,D0380,C05962,1.9,4,49.20,UPI,Completed,38.89,Graduate,5.0,25.89
RX000152,27-Sep-2021 19:33,Delhi,Auto,D0151,C03567,3.9,10,98.68,UPI,Completed,79.05,Graduate,4.0,25.30
RX000153,27-Sep-2021 20:27,Delhi,Bike,D0299,C00391,3.9,9,59.09,Cash,Completed,47.78,Graduate,4.5,15.15
RX000154,27-Sep-2021 20:53,Mumbai,Sedan,D0294,C01457,6,12,248.97,UPI,Completed,195.13,High School,4.5,41.50
RX000155,28-Sep-2021 13:36,Bangalore,Auto,D0264,C00873,12.5,35,165.00,Cash,Completed,133.92,High School,4.5,13.20
RX000156,28-Sep-2021 18:11,Hyderabad,Auto,D0321,C05632,3.2,9,85.41,Card,Completed,67.10,Graduate,4.5,26.69
RX000157,28-Sep-2021 18:38,Delhi,Mini,D0110,C04371,5.3,13,177.76,UPI,Completed,144.90,Graduate,4.0,33.54
RX000158,28-Sep-2021 20:03,Ahmedabad,Mini,D0356,C03654,2.3,6,125.21,Card,Completed,98.68,Diploma,5.0,54.44
RX000159,28-Sep-2021 20:40,Hyderabad,Bike,D0373,C01718,11.3,22,133.66,UPI,Completed,105.61,Diploma,4.5,11.83
RX000160,29-Sep-2021 02:42,Delhi,Mini,D0091,C04137,9.1,24,181.10,UPI,Completed,142.54,High School,4.0,19.90
RX000161,29-Sep-2021 12:24,Kolkata,Mini,D0036,C03776,9.7,32,0.00,,Cancelled by Driver,0.00,High School,,0.00
RX000162,29-Sep-2021 16:45,Bangalore,Bike,D0349,C05737,5,10,50.00,Cash,Completed,39.58,Diploma,5.0,10.00
RX000163,29-Sep-2021 19:08,Ahmedabad,Auto,D0096,C02318,5.4,13,106.59,Card,Completed,83.75,Diploma,4.0,19.74
RX000164,30-Sep-2021 07:42,Bangalore,Auto,D0131,C02641,8.2,18,113.60,UPI,Completed,93.04,High School,4.5,13.85
RX000165,30-Sep-2021 09:18,Delhi,Bike,D0378,C03115,1.9,4,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000166,30-Sep-2021 11:12,Hyderabad,Auto,D0303,C05287,4.5,10,76.00,Wallet,Completed,61.82,Diploma,4.5,16.89
RX000167,30-Sep-2021 15:42,Kolkata,Mini,D0031,C01793,8.9,30,187.90,Card,Completed,149.34,Graduate,5.0,21.11
RX000168,30-Sep-2021 16:35,Delhi,Sedan,D0217,C05810,6.4,17,183.60,Card,Completed,145.07,High School,3.5,28.69
RX000169,30-Sep-2021 17:53,Delhi,Auto,D0221,C02595,22.1,68,274.80,Cash,Completed,215.04,Diploma,4.5,12.43
RX000170,30-Sep-2021 18:14,Delhi,Sedan,D0345,C05457,3.5,8,173.84,UPI,Completed,136.89,Graduate,5.0,49.67
RX000171,30-Sep-2021 19:49,Mumbai,SUV Premier,D0261,C03602,4.2,9,243.20,UPI,Completed,197.30,High School,5.0,57.90
RX000172,30-Sep-2021 20:23,Delhi,Bike,D0207,C03206,9.5,16,87.76,Wallet,Completed,68.73,High School,5.0,9.24
RX000173,30-Sep-2021 21:18,Delhi,Mini,D0217,C03048,1.5,3,66.00,UPI,Completed,52.20,High School,4.5,44.00
RX000174,30-Sep-2021 21:31,Kolkata,Auto,D0178,C04220,6.5,27,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX000175,30-Sep-2021 21:33,Ahmedabad,Sedan,D0270,C03374,5.1,13,157.40,Cash,Completed,124.06,High School,5.0,30.86
RX000176,01-Oct-2021 05:33,Kolkata,Auto,D0166,C03083,3.8,15,0.00,,Cancelled by Driver,0.00,Diploma,,0.00
RX000177,01-Oct-2021 07:24,Chennai,Auto,D0003,C02049,8.8,22,122.40,UPI,Completed,96.38,Graduate,4.5,13.91
RX000178,01-Oct-2021 09:13,Ahmedabad,Mini,D0157,C03914,2.1,5,101.12,Wallet,Completed,79.91,High School,4.0,48.15
RX000179,01-Oct-2021 13:22,Delhi,Mini,D0013,C02282,5.5,12,123.50,Cash,Completed,99.73,Diploma,4.0,22.45
RX000180,01-Oct-2021 20:53,Hyderabad,SUV Premier,D0234,C00697,7.3,15,445.71,Cash,Completed,362.46,Diploma,4.5,61.06
RX000181,01-Oct-2021 21:35,Chennai,Sedan,D0352,C01020,4.6,10,144.40,UPI,Completed,113.45,High School,4.5,31.39
RX000182,02-Oct-2021 11:13,Chennai,Bike,D0197,C03229,6.6,12,59.00,Card,Completed,46.19,Diploma,4.5,8.94
RX000183,02-Oct-2021 13:41,Delhi,Bike,D0214,C05605,3.2,6,39.00,Cash,Completed,31.87,Graduate,5.0,12.19
RX000184,02-Oct-2021 15:00,Bangalore,Auto,D0087,C02050,4.3,10,74.40,Card,Completed,60.79,Graduate,4.5,17.30
RX000185,02-Oct-2021 16:56,Mumbai,Mini,D0126,C04580,6.8,17,145.30,Cash,Completed,115.57,Diploma,5.0,21.37
RX000186,03-Oct-2021 06:46,Ahmedabad,Auto,D0169,C02814,7.8,17,0.00,,Cancelled by Customer,0.00,Diploma,,0.00
RX000187,03-Oct-2021 07:12,Chennai,Mini,D0202,C03318,3.2,7,90.70,Wallet,Completed,71.75,Post Graduate,4.5,28.34
RX000188,03-Oct-2021 09:13,Kolkata,Auto,D0191,C02060,3.1,13,77.69,UPI,Completed,61.85,Post Graduate,5.0,25.06
RX000189,03-Oct-2021 09:57,Mumbai,SUV Premier,D0005,C00927,14.6,37,668.52,Wallet,Completed,533.30,High School,4.5,45.79
RX000190,03-Oct-2021 11:58,Delhi,Mini,D0198,C01645,3.5,8,95.50,UPI,Completed,74.72,Graduate,4.5,27.29
RX000191,03-Oct-2021 13:02,Delhi,SUV Premier,D0371,C05252,13.8,26,444.00,Cash,Completed,353.81,Graduate,4.5,32.17
RX000192,03-Oct-2021 14:50,Pune,Auto,D0253,C03480,3.6,9,67.80,Card,Completed,55.24,Diploma,4.5,18.83
RX000193,03-Oct-2021 17:40,Mumbai,Auto,D0376,C01298,5.7,18,93.60,UPI,Completed,76.58,High School,4.0,16.42
RX000194,03-Oct-2021 18:57,Ahmedabad,Sedan,D0100,C00781,5.8,13,0.00,,Cancelled by Customer,0.00,Post Graduate,,0.00
RX000195,03-Oct-2021 19:52,Ahmedabad,Sedan,D0030,C04654,11.5,30,427.82,UPI,Completed,342.60,Graduate,5.0,37.20
